🌺地方台,#genre#
南国都市,http://ye23.win/iptv/gztv.php?id=shenghuo?zguangd
深圳娱乐频道,http://ye23.win/iptv/sztv.php?id=6?zguangd
深圳移动电视,http://ye23.win/iptv/sztv.php?id=8?zguangd
深圳公共频道,http://ye23.win/iptv/sztv.php?id=4?zguangd
深圳都市频道,http://ye23.win/iptv/sztv.php?id=2?zguangd
广州新闻,http://aplay.gztv.com/sec/xinwen.m3u8?zguangd
广州综合,https://aplay.gztv.com/sec/zhonghe.m3u8?zguangd
上海新闻,http://140.207.241.3:8080/live/program/live/xwzhhd/4000000/d1.m3u8?zshangd
江西都市,http://local.live.jxtvcn.com.cn/live-jxtv/tv_jxtv2.m3u8?zjiangxd#http://39.134.115.191:8080/ysten.jx.chinamobile.com/PLTV/88888888/224/3221225584/2/index.m3u8?fmt=ts2hls?zjiangxd
江西经济生活,http://local.live.jxtvcn.com.cn/live-jxtv/tv_jxtv3.m3u8?zjiangxd#http://local.live.jxtvcn.com.cn/live-jxtv/tv_jxtv3_hd.m3u8?zjiangxd#http://39.134.115.191:8080/ysten.jx.chinamobile.com/PLTV/88888888/224/3221225580/2/index.m3u8?fmt=ts2hls?zjiangxd
江西少儿家庭,http://local.live.jxtvcn.com.cn/live-jxtv/tv_jxtv6.m3u8?zjiangxd#http://39.134.115.191:8080/ysten.jx.chinamobile.com/PLTV/88888888/224/3221225577/2/index.m3u8?fmt=ts2hls?zjiangxd
江西新闻,http://local.live.jxtvcn.com.cn/live-jxtv/tv_jxtv7.m3u8?zjiangxd#http://39.134.115.191:8080/ysten.jx.chinamobile.com/PLTV/88888888/224/3221225576/2/index.m3u8?fmt=ts2hls?zjiangxd
江西移动电视,http://local.live.jxtvcn.com.cn/live-jxtv/tv_jxtv8.m3u8?zjiangxd
江西教育,http://39.134.115.191:8080/ysten.jx.chinamobile.com/PLTV/88888888/224/3221226197/2/index.m3u8?fmt=ts2hls?zjiangxd
南昌新闻综合,http://39.135.138.58:18890/PLTV/88888888/224/3221226223/index.m3u8?zjiangxd
南昌都市,http://39.135.138.58:18890/PLTV/88888888/224/3221226226/index.m3u8?zjiangxd
南昌公共,http://39.135.138.58:18890/PLTV/88888888/224/3221226231/index.m3u8?zjiangxd
吉安新闻综合,http://stream.ijatv.com/jatv1/hd/live.m3u8?zjiangxd
吉安公共,http://stream.ijatv.com/jatv2/hd/live.m3u8?zjiangxd
赣州新闻综合,http://pl1.cloud.dayang.com.cn/live/10062_nfeG7l.m3u8?zjiangxd
赣州公共频道,http://pl1.cloud.dayang.com.cn/live/10062_Naq1lu.m3u8?zjiangxd
赣州教育频道,http://pl1.cloud.dayang.com.cn/live/10062_ojZz8U.m3u8?zjiangxd
南康综合频道,http://hwplay-hls.myun.tv/live/0em6zval.m3u8?jiangxi

💘CCTV,#genre#
